id,date_applied,company,role,track,score,source,url,status,last_contact,next_action,next_action_date,notes
chrono24-ios-developer,2026-08-03,Chrono24,iOS Developer,ios-developer,90,linkedin,https://www.linkedin.com/jobs/view/4443283796/?alternateChannel=search&eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=o5ba6kmYTbMi4Qf1p05dlw%3D%3D&trackingId=w%2BNzXAQjtxXrj7b2GyZOcA%3D%3D,rejected,2026-08-06,,,"LinkedIn listing showed ""no longer accepting"" at fetch time but submitted. CV only. Rejected at application stage."
sme-careers-ios-engineer,2026-08-03,SME Careers (SuperAnnotate),iOS Engineer (Swift and Objective-C),ios-developer,70,linkedin,https://www.linkedin.com/jobs/view/4424721819/?alternateChannel=search&eBP=NON_CHARGEABLE_CHANNEL&refId=m6gYlTNQ%2BH2qvxe3HpCEWw%3D%3D&trackingId=tMpiQ%2BgMyYtkWGm%2BTkroqw%3D%3D,applied,2026-08-03,first follow-up,2026-08-10,"CV only. Location UNKNOWN (capped from raw 76). Employment model unverified, may be hourly contractor via Deel. Score reflects broad iOS judgement for AI-training-data work, not production shipping."
almedia-founding-mobile-engineer-ios,2026-08-03,Almedia,Founding Mobile Engineer (iOS),ios-developer,83,linkedin,https://www.linkedin.com/jobs/view/4437858073/,rejected,2026-08-06,,,"Founding greenfield role, new product. Freecash had app-store violations April 2026, reinstated by June. Rejected at application stage, CV only."
michael-page-senior-ios-developer,2026-08-04,Michael Page,Senior iOS Developer,ios-developer,80,linkedin,https://www.linkedin.com/jobs/view/4446867183/?alternateChannel=search&trk=d_flagship3_search_srp_jobs&refId=iMEANShWf0tYG1KKeWjAGA%3D%3D&trackingId=uOb1ia%2F3HR5XbL%2BsjbkGsA%3D%3D,applied,2026-08-04,first follow-up,2026-08-11,"Recruitment agency, 4-6 months interim contract, 100% remote, immediate start. CV only."
oliver-bernard-ai-engineer,2026-08-04,Oliver Bernard,AI Engineer,ai-engineer,78,linkedin,https://www.linkedin.com/jobs/view/4443283799/?alternateChannel=search&eBP=NON_CHARGEABLE_CHANNEL&trk=d_flagship3_top_applicant_jobs_collection&refId=P2mYyqSKTmqgh9h9wL6I5Q%3D%3D&trackingId=TSA7G6nALc%2F9XZsgp9y2Mw%3D%3D,applied,2026-08-04,first follow-up,2026-08-11,"Recruitment agency, end client unnamed. Munich onsite. CV only."
code-compass-machine-learning-engineer,2026-08-04,Code Compass,Machine Learning Engineer,ai-engineer,59,linkedin,https://www.linkedin.com/jobs/view/4445515701/?alternateChannel=search&eBP=CwEAAAGfzlSwTnqhPeLEs3emCVHM2JI1Ob6NIqEg0FYuBzd-HJY5xVpUIlaYGc7_4HBIYl5ypmM8iOQl7SFdrg2XFTZTzTqrI7N7RSag8cgVlZyyazoET7YkRo7aU1807NOLU_mlRYsum-bFLHyXisEUsSEamWQNuS-KlXTjRDCS6qJMrnw4rOPlJ0i9mmw9xlTkOy3T-Yx_tpxGCQf7D2Dgpdi33tAb4xTrboMb21cl_LeHzwFpS0j-C2hlnQwNfTWa9Im3qTQNUeuALsIr4C5NETJSu-OkygvxDjPbE6ZzjxaV30k-0b_cKc4YflGxAAHDXl-KBTrW5fg3HoFvTpBFojEE5csabaptrD6kQldwGaxvXhmtJbpyP55MmO-BEtzuB7xlgaWPpu4-W07-yxK3tvY5Wp2sPbDm5VQ0cgYMBHm0dufsd4bnmF3haKCqRqB8MBEAxe4WcvQAz2wWUDl-HHXbH-XFsX6tinVmhiH_4cPg_2V3cpg&trackingId=74KmoqmeJEbA7Ofk92xN1Q%3D%3D,applied,2026-08-04,first follow-up,2026-08-11,"Recruitment agency, end client unnamed. Berlin hybrid. CV only. Diffusion models and GANs named requirements with no evidence on profile."
kira-ios-developer,2026-08-05,Kira,iOS Developer - AI Finance Agent,ios-developer,86,linkedin,https://www.linkedin.com/jobs/view/4446602904/?alternateChannel=search&eBP=NON_CHARGEABLE_CHANNEL&refId=XehNTS1mjCwLrocrcVfzvA%3D%3D&trackingId=XS5olpmNZMmx4cTNGvz0nQ%3D%3D,applied,2026-08-05,first follow-up,2026-08-12,"Third application to BJAK/Kira (bjak-ios-developer 89, kira-mobile-engineer 69, both 2026-07-30). Board has 18 near-duplicate postings including two verbatim duplicates. Resurfaced requisition, twelve days old. CV only, remote Germany."
wolt-staff-mobile-engineer,2026-08-06,Wolt,Staff Mobile Engineer - Retail,ios-developer,69,linkedin,https://www.linkedin.com/jobs/view/4442090418/,applied,2026-08-06,first follow-up,2026-08-13,"Seniority gap is primary limiter (3/20 vs 33/40 technical fit). Server-driven UI named requirement, unconfirmed on profile. First in pipeline with cover letter."
n26-ios-engineer,2026-08-09,N26,iOS Engineer,ios-developer,,manual,https://www.linkedin.com/jobs/view/4450282828/,applied,2026-08-09,first follow-up,2026-08-16,"Ad hoc application outside intake to score flow. Farrukh authored and reviewed CV himself, no score. Hiring manager posted publicly about Cards team opening, a separate requisition."
casavi-working-student-ai-transformation,2026-08-09,casavi GmbH,Working Student AI Transformation (m/f/d),ai-engineer,,linkedin,https://www.linkedin.com/jobs/view/4448787498/,applied,2026-08-09,first follow-up,2026-08-16,"German B2 required, Farrukh is A2 (hard gate, addressed in letter). No score, /score never run. iOS CV sent, not AI-tailored."
branch-tech-full-stack-ai-engineer,2026-08-09,Branch Tech,Full Stack AI Engineer,ai-engineer,68,linkedin,https://www.linkedin.com/jobs/view/4448168408/,rejected,2026-08-13,,,,"Recruitment agency, unnamed EV-sector client confirmed independently across three sources. Asking the agency to name the employer is the highest-value follow-up because it enables direct application. Backend from personal project, frontend from Bachelor's (October 2018 to July 2022). CV only. Rejected at application stage, CV only."
patrizia-ai-engineer,2026-08-09,PATRIZIA SE,AI Engineer (m/f/d),ai-engineer,85,linkedin,https://www.linkedin.com/jobs/view/4446222861/,applied,2026-08-09,first follow-up,2026-08-16,"Highest-scoring open application. Direct employer, company fit 12/15. Hard gap is cloud, no Azure or any provider evidenced. RAG second gap. CTO office created May 2025, function under 18 months old. CV only."
yorteam-senior-ios-platform-engineer,2026-08-10,YorTeam B.V.,Senior iOS Platform Engineer,ios-developer,72,linkedin,https://www.linkedin.com/jobs/view/4447016485/,rejected,2026-08-14,,,Technical fit 37/40 (highest, no gap). Score 72 down from seniority (7/20 vs 8+ require) and company fit (5/15, unnamed), not work match. The 8+ bar likely first-screen filter. Farrukh has 4 years plus M.Sc. Sixth agency listing. Permanent or YorTeam secondment unknown. CV only, shows Berlin not Amsterdam. Died at application stage, no screen. Prediction validated: 8+ years gate worked as forecast despite 37/40 technical fit.
n26-ios-engineer-digital-identity,2026-08-11,N26,iOS Engineer - Digital Identity,ios-developer,,linkedin,https://www.linkedin.com/jobs/view/4450286726/,applied,2026-08-11,first follow-up,2026-08-18,"Second N26 application. n26-ios-engineer submitted 2026-08-09 for Berlin Cards, first follow-up due 2026-08-16. No score (outside intake to score flow). Session stability and device management claimed but absent from profile."
sumup-ios-engineer-design-system,2026-08-13,SumUp,iOS Engineer - Design System,ios-developer,,linkedin,https://www.linkedin.com/jobs/view/4372625177/,rejected,2026-08-18,,,"Second SumUp application. sumup-ios-mobile-platform scored 93 (highest on board), applied 2026-07-30, rejected 2026-08-03 in four days (fastest closure). Job ID extrapolates to February 2026 but listing showed ""3 days ago"" at import, possible stale requisition. No score, CV only. Rejected 2026-08-18, five days after applying. Second SumUp rejection, the first was sumup-ios-mobile-platform at 93 rejected in four days. No score on this one, /score never ran."
demodesk-ai-gtm-engineering-intern,2026-08-14,Demodesk,AI GTM Engineering Intern,ai-engineer,,linkedin,https://www.linkedin.com/jobs/view/4435976012/,rejected,2026-08-18,,,"Internship for students or recent graduates, basic technical skills only. Step down from four years production engineering. GTM work, not software engineering. Posting age unknown, job ID contradicts posted label. No score, /score never run. CV only, no letter. Rejected 2026-08-18, four days after applying. Internship asking for basic technical skills against four years of production engineering. No score, /score never ran."
cariad-radar-camera-fusion-slam-intern,2026-08-14,CARIAD,Radar-Camera Fusion SLAM Intern,ai-engineer,45,linkedin,https://www.linkedin.com/jobs/view/4446653830/,applied,2026-08-14,first follow-up,2026-08-21,"Score capped at 45 (uncapped 56). M.Sc. thesis placement, final semester OTH Amberg. Posting may be closed: expired on VW portal, fresh on LinkedIn. Radar and learning-based fusion gaps (RosBot uses lidar and depth camera). CV and cover letter sent."
vinted-senior-ios-engineer-order,2026-08-14,Vinted,"Senior iOS Engineer, Order",ios-developer,84,company-site,https://careers.vinted.com/jobs/j/4876747101?q=iOS,rejected,2026-08-18,,,"Highest company fit in pipeline at 14/15. App Store check: 4.9 from roughly 91,000 ratings, ranked first in Shopping, updated four days before research. GMV and revenue growth verified from Vinted newsroom. Relocation to Lithuania required (Kaunas or Vilnius, hybrid), no remote option. Vinted runs funded relocation programme: EUR 3,000 base bonus plus housing help. No years figure stated in posting, unlike YorTeam which asked for 8 plus and rejected in four days. Seniority bar is qualitative, a genuine stretch against four years and one junior mentored. Tuist and Sourcery are unclosed gaps. SwiftLint, SwiftFormat and Danger are open questions. CV and letter both written. Rejected 2026-08-18. Row was still status draft because /submitted was never run, so date_applied is recorded as 2026-08-14, the day the CV and letter were finished. Treat the days-to-rejection figure for this row as approximate. Scored 84 with the highest company fit in the pipeline at 14 of 15."
